0,92,67
1,91,66
2,89,65
3,89,66
4,88,67
5,85,66
6,85,66
7,86,66
8,85,65
9,86,63
10,86,64
11,85,65
12,87,65
13,86,64
14,87,63
15,87,64
16,86,64
17,86,63
18,86,63
19,86,64
20,87,64
21,86,64
22,88,66
23,89,67
24,90,66
25,92,65
26,91,66
27,92,65
28,94,63
29,93,63
30,94,62
31,95,61
32,94,62
33,94,64
34,96,61
35,97,61
36,97,62
37,96,64
38,96,64
39,95,62
40,95,62
41,93,62
42,92,63
43,90,62
44,88,65
45,84,65
46,80,64
47,79,65
48,77,67
49,73,66
50,72,68
51,71,68
52,69,71
53,65,72
54,64,74
55,64,72
56,63,73
57,61,73
58,62,73
59,62,75
60,64,74
61,63,75
62,61,77
63,62,74
64,62,74
65,61,75
66,61,76
67,62,73
68,62,74
69,64,75
70,65,72
71,64,73
72,64,72
73,65,71
74,66,68
75,66,68
76,67,66
77,69,63
78,68,63
79,68,64
80,71,63
81,71,62
82,73,60
83,74,59
84,79,61
85,84,60
86,89,61
87,91,59
88,96,59
89,98,60
90,102,59
91,107,60
92,109,62
93,109,60
94,112,61
95,111,62
96,110,64
97,111,60
98,111,60
99,110,61
100,107,60
101,106,60
102,104,60
103,99,61
104,97,62
105,94,64
106,92,65
107,90,64
108,88,63
109,84,60
110,83,60
111,81,59
112,80,60
113,79,59
114,77,58
115,77,57
116,77,56
117,76,56
118,76,57
119,76,57
120,76,57
121,76,57
122,76,58
123,76,57
124,75,58
125,75,58
126,75,58
127,76,56
128,74,57
129,75,56
130,74,57
131,74,56
132,74,56
133,74,57
134,75,56
135,75,53
136,75,54
137,75,54
138,74,55
139,77,57
140,78,58
141,79,58
142,80,56
143,81,55
144,81,55
145,80,55
146,81,57
147,80,55
148,81,56
149,82,55
150,82,53
151,83,55
152,82,54
153,83,54
154,82,53
155,81,55
156,81,54
157,83,55
158,83,55
159,82,56
160,81,56
161,81,56
162,82,56
163,81,57
164,81,57
165,83,58
166,83,59
167,82,60
168,84,60
169,83,60
170,85,59
171,85,61
172,85,63
173,86,63
174,86,65
175,88,66
176,88,66
177,86,66
178,85,66
179,86,66
180,87,65
181,87,65
182,88,66
183,88,65
184,89,67
185,90,68
186,90,70
187,92,71
188,93,71
189,94,72
190,95,73
191,98,76
192,99,76
193,99,78
194,100,77
195,103,80
196,104,82
197,107,83
198,109,83
199,108,84
200,110,84
201,112,88
202,112,88
203,113,86
204,116,88
205,115,86
206,117,86
207,118,85
208,118,81
209,119,79
210,116,79
211,114,76
212,111,73
213,106,73
214,100,70
215,96,69
216,90,66
217,87,65
218,81,65
219,78,64
220,75,63
221,70,62
222,68,64
223,64,63
224,64,64
225,61,63
226,60,62
227,60,63
228,60,66
229,59,65
230,61,65
231,63,67
232,66,66
233,69,67
234,72,67
235,74,69
236,77,69
237,80,70
238,82,71
239,85,71
240,85,70
241,89,71
242,89,73
243,91,71
244,91,72
245,92,74
246,93,73
247,93,72
248,94,72
249,93,71
250,91,70
251,89,70
252,87,68
253,87,69
254,85,68
255,84,67
256,83,66
